2022-04-18 16:10:19,747 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {datanodeDetails=e0ff45fc-e123-4c64-9036-c5e8c917e693{ip: 172.25.0.103, host: 5436c02ae757, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 1373106866705, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-18 16:10:19,873 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {datanodeDetails=0fea653f-3476-43f2-9776-1745792a1c1d{ip: 172.25.0.104, host: d8a7fa59b38d, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 1376210229015, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-18 16:10:21,243 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=e0ff45fc-e123-4c64-9036-c5e8c917e693, command=[]} | ret=SUCCESS |  
2022-04-18 16:10:21,413 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0fea653f-3476-43f2-9776-1745792a1c1d, command=[]} | ret=SUCCESS |  
2022-04-18 16:10:22,476 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {datanodeDetails=97ef2fe7-b9e8-47a8-b635-c3cf479f51d9{ip: 172.25.0.102, host: 445163706c69, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 1377895626188, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-18 16:10:24,203 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=97ef2fe7-b9e8-47a8-b635-c3cf479f51d9, command=[]} | ret=SUCCESS |  
2022-04-18 16:10:25,953 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=97ef2fe7-b9e8-47a8-b635-c3cf479f51d9, command=[]} | ret=SUCCESS |  
2022-04-18 16:10:26,830 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=97ef2fe7-b9e8-47a8-b635-c3cf479f51d9, command=[]} | ret=SUCCESS |  
2022-04-18 16:10:31,408 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0fea653f-3476-43f2-9776-1745792a1c1d, command=[]} | ret=SUCCESS |  
2022-04-18 16:10:31,759 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=97ef2fe7-b9e8-47a8-b635-c3cf479f51d9, command=[]} | ret=SUCCESS |  
2022-04-18 16:10:33,365 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=97ef2fe7-b9e8-47a8-b635-c3cf479f51d9, command=[]} | ret=SUCCESS |  
2022-04-18 16:10:35,777 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=e0ff45fc-e123-4c64-9036-c5e8c917e693, command=[]} | ret=SUCCESS |  
2022-04-18 16:10:37,033 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=97ef2fe7-b9e8-47a8-b635-c3cf479f51d9, command=[]} | ret=SUCCESS |  
2022-04-18 16:10:37,902 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=e0ff45fc-e123-4c64-9036-c5e8c917e693, command=[]} | ret=SUCCESS |  
2022-04-18 16:10:37,921 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=e0ff45fc-e123-4c64-9036-c5e8c917e693, command=[]} | ret=SUCCESS |  
2022-04-18 16:10:38,445 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0fea653f-3476-43f2-9776-1745792a1c1d, command=[]} | ret=SUCCESS |  
2022-04-18 16:10:38,466 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0fea653f-3476-43f2-9776-1745792a1c1d, command=[]} | ret=SUCCESS |  
2022-04-18 16:10:52,290 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=e0ff45fc-e123-4c64-9036-c5e8c917e693, command=[]} | ret=SUCCESS |  
2022-04-18 16:10:52,582 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0fea653f-3476-43f2-9776-1745792a1c1d, command=[]} | ret=SUCCESS |  
2022-04-18 16:10:57,516 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=e0ff45fc-e123-4c64-9036-c5e8c917e693, command=[]} | ret=SUCCESS |  
2022-04-18 16:10:57,712 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0fea653f-3476-43f2-9776-1745792a1c1d, command=[]} | ret=SUCCESS |  
2022-04-18 16:11:02,986 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0fea653f-3476-43f2-9776-1745792a1c1d, command=[]} | ret=SUCCESS |  
2022-04-18 16:11:07,182 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=97ef2fe7-b9e8-47a8-b635-c3cf479f51d9, command=[]} | ret=SUCCESS |  
2022-04-18 16:11:23,671 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=97ef2fe7-b9e8-47a8-b635-c3cf479f51d9, command=[]} | ret=SUCCESS |  
2022-04-18 16:11:23,679 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=97ef2fe7-b9e8-47a8-b635-c3cf479f51d9, command=[]} | ret=SUCCESS |  
2022-04-18 16:11:23,909 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0fea653f-3476-43f2-9776-1745792a1c1d, command=[]} | ret=SUCCESS |  
